StatsType,Project,CPID,TC,RAT,RAC,AvgRAC,Mag
NetWorkWide,,,1121277926895.527832,12023910558794.572266,741708362.003062,600573.572472,114999.220000,
byCPID,,004167638daf46847501be39de7e941b,62071689.544951,4914027371.094348,860.722573,286.907524,1.440000,
byCPID,,00753fb2da10d8f412195f4f99c61078,11387904517.851000,8005775631.659371,7687850.608289,1537570.121658,331.920000,
byCPID,,007b76793e25af64dc29d68b5347ee7f,7841449.074652,3276022356.642320,7515.582147,3757.791073,4.000000,
byCPID,,008e009ba65fe0c1c4cfd20e11cb5205,577333.333333,1632805235.650937,0.093571,0.093571,0.000000,
byCPID,,009b415d69801a2f9182069b9257f410,1319984969.222832,4913928011.816167,126.799380,42.266460,0.330000,
byCPID,,00b4ebd7c601cf43c5f84f75c36af4ed,2811987169.184304,7928167793.138512,2198620.302413,439724.060483,64.480000,
byCPID,,00ce8a19960dcf75c209bb7adf19fa69,8096156.533703,16231095009.283287,10780.975878,1078.097588,4.020000,
byCPID,,0141bff95e43aebae6c4a03e33be8672,37017168.518075,6552181250.446743,120244.270088,30061.067522,23.650000,
byCPID,,018fee9c586754b2403c7897782dce0a,312500.000000,1637963403.321180,6256.699441,6256.699441,2.640000,
byCPID,,01e1922cf160e37919e0a906353ccbfd,35404052.652309,8183659200.668145,1191.500916,238.300183,0.160000,
byCPID,,01f7a0f8b60fe3ebd799122ebe08043e,37445229.061877,12300780268.676512,342.231732,42.778966,0.390000,
byCPID,,01fd21141ef10ad826c5b6d7d7a66629,1014844622.713823,10876595607.618546,350669.891731,50095.698819,8.790000,
byCPID,,020745dee461ca34d12a8fb931514c90,115137.976613,1638049187.114668,3101.722376,3101.722376,0.480000,
byCPID,,0241f0d426ee96633c731195927dcc5f,475940.522680,6322340109.895233,1284.977265,321.244316,5.130000,
byCPID,,0249b19d285e6b0b6c7d255974aefed1,10442260.749435,8011277581.332100,14140.073415,2828.014683,15.700000,
byCPID,,026dde8d3daf1a497a97ce692dfae76a,3657758.963689,14510649282.464441,4833.835500,537.092833,0.630000,
byCPID,,02aede2d5384a384768c41e1baeb256f,8679.222248,3275883486.171045,79.994944,39.997472,0.430000,
byCPID,,02f8f633ceefa8a48f7d624555a07493,43881022.991367,17915022019.657211,1216.952957,110.632087,0.890000,
byCPID,,035c2c7083b58ac631db2988fd55dd77,909773.234243,1638051895.005779,6367.527283,6367.527283,0.830000,
byCPID,,03735fd8066b71828aec7ce17196bbb8,53797163.613664,15406048469.836277,12010.436606,1201.043661,4.480000,
byCPID,,0390450eff5f5cd6d7a7d95a6d898d8d,644823464.041657,10879018793.457561,459986.886190,65712.412313,109.630000,
byCPID,,03c2fac841e8cd2fb1a194d26662bb54,275160383.772328,13015435161.053972,170157.812594,21269.726574,6.630000,
byCPID,,041057906bf4760afcb2efd63247ece5,7141853.065176,4898198789.861901,156966.809397,52322.269799,23.890000,
byCPID,,046fee12df19c1855ced4e543e1c6b93,314464.905714,1638025502.211137,2997.109602,2997.109602,0.570000,
byCPID,,048de851fbdb89757c4576472bf2978e,4518859588.933904,21240730177.299862,8523936.843001,655687.449462,3139.780000,
byCPID,,049144b3fb2e414f5d122a2807066342,7355329.460564,7706327351.560539,1593.396394,318.679279,0.250000,
byCPID,,04e3f01a53bcfe437a71e1b238ff1005,889672331.477845,7957313497.749448,4345.899107,869.179821,0.560000,
byCPID,,05c21278af7999e749b1671ea90bc8f6,735798882.533428,25740223397.991402,56887.466511,3555.466657,23.990000,
byCPID,,05d3fd0b7e65d9653889897f38ed1971,113244097.220256,21293543682.533512,6195.721623,476.593971,9.050000,
byCPID,,067bc227ca534998a56ec56c1f865e14,20567953.933820,12263357217.895533,0.735446,0.091931,0.000000,
byCPID,,0698a0a811e7b73e765049be05972cfd,1679743.890787,3275910170.197783,848.036272,424.018136,1.540000,
byCPID,,06c4f726c25413b262e4ec4114a98837,372894476.700885,14501045116.930893,1884.395808,209.377312,4.160000,
byCPID,,06f1521014192f5f59d03f33726b2dd2,8047004421.652287,4912476964.698617,4028.819921,1342.939974,0.070000,
byCPID,,07065b315ac186d42fbe2e5ef734b7cb,437663352.680980,7702702531.264643,11.323679,2.264736,0.000000,
byCPID,,072a22b83c8d6bc62c296b9eb1db134f,69015004.745773,8189687008.225522,20785.488841,4157.097768,5.910000,
byCPID,,079f09b14b5a8bf3ae773340d9a54f82,12757890.418371,14442013173.858305,14829.738882,1647.748765,42.510000,
byCPID,,07a36578fc3f6a512f0c1efb5f914212,14457053.510610,24360522712.230717,230.070160,15.338011,0.920000,
byCPID,,07eddf7186858e6e44ba714cfad8578b,34614582.869754,1599200401.550570,0.089798,0.089798,0.000000,
byCPID,,08321f22a670ce593f85cee0aceed378,21773518.253956,6552165653.281862,82182.198009,20545.549502,14.790000,
byCPID,,0852ce22a8a32b77558c4f1c28230dd4,524635.580935,4912782971.924649,93.729445,31.243148,0.330000,
byCPID,,08ca9991fd3896a5db23370abf113d17,1081602.883312,8189909379.590233,7227.842842,1445.568568,4.540000,
byCPID,,09696d66b271b84cfb2e7d2dfb1e044d,10816823.301566,6288998941.555628,186.894236,46.723559,0.340000,
byCPID,,097304832e018c455aaf8ce011748ea2,964342708.000617,6458017917.623386,880196.570200,220049.142550,14.620000,
byCPID,,097c16fed6eba410219b5f52f954f5b0,22271229.478695,11465804532.991026,34619.630187,4945.661455,9.960000,
byCPID,,0982d5c1bc0d3b697d29e8cd15d9e478,3089225.278640,4854747306.600471,3003.633758,1001.211253,0.390000,
byCPID,,09cef9dc9e19a0716fa89341aa7a523c,246882621.574976,16092291640.774338,102200.393821,10220.039382,41.470000,
byCPID,,09e3f02bd092efb9d9e49337fd66af10,4903841.094196,15943572993.377819,9906.740384,990.674038,9.530000,
byCPID,,0a187954d623c6bdd7799206d578935b,564146039.024324,13103690274.886271,274346.754527,34293.344316,22.490000,
byCPID,,0aa845f7d05f770a01c1689d8d894827,23305357.204586,11209695050.287434,15310.777820,2187.253974,22.660000,
byCPID,,0b0f1a96743878631664e3b48448726a,4251901.070046,1637879702.642660,1490.201402,1490.201402,2.710000,
byCPID,,0b3e9507b7e91d1ae13ca41262fee609,1158378558.129381,9820971895.852829,1188977.712863,198162.952144,235.480000,
byCPID,,0b4d14b2320bbe33eb9b302ae960fd64,156279.570595,1630860902.501377,0.099093,0.099093,0.000000,
byCPID,,0b5ef259411ec18e8dac2be0b732fd23,90834216.085769,18904582073.787060,261.752142,21.812678,1.030000,
byCPID,,0b994a7810d0dd2365e4cc898bb2f4c5,5034245.617017,4577036708.286999,0.246509,0.082170,0.000000,
byCPID,,0b9d5a9c6f58fc6350a5e66e0380e626,1102739.015914,4883898605.367767,0.273963,0.091321,0.000000,
byCPID,,0bafa3abdb7b9e89102d7c792d6a9f57,6745778.169107,3234701607.568849,1144.696239,572.348120,0.150000,
byCPID,,0bda1593796580c7d4ec04fcefb90bc8,8846809.556896,1638057480.658659,4209.951547,4209.951547,0.550000,
byCPID,,0c133fbd5aa121e4e272470080b87198,53472757.227762,4723109901.141138,13228.998944,4409.666315,1.720000,
byCPID,,0c52b2e7a3569a37670c71efad85de26,79718440.577048,8117291697.662451,17763.143906,3552.628781,10.720000,
byCPID,,0c77869524781d812cc6e6e8bbbf6a14,23631200.883401,11320909393.007465,5496.667369,785.238196,1.050000,
byCPID,,0c795e2af37411d8c917822318408a46,11066138.155568,3276095661.892338,22102.920228,11051.460114,33.970000,
byCPID,,0ca9e97f18b87e18cbcd9dc98bb37864,352594.762534,4843470606.124473,186.648090,62.216030,0.020000,
byCPID,,0d018ee5353d349283563373d87ca680,99446711.190135,9624994522.783684,3855.159508,642.526585,1.020000,
byCPID,,0d19ad295b836a76cc33b409a997f971,158776494.434162,3276025804.569429,3309.486089,1654.743044,5.120000,
byCPID,,0d7bf78aeb1dae402525a417a38b07e4,375945653.319507,9678680278.463331,70528.036360,11754.672727,13.230000,
byCPID,,0d8ffbf58ff5f354436c6f9e8ad1ab43,32976714.552250,1638052724.007995,104425.909397,104425.909397,16.100000,
byCPID,,0de87e305d5d3a9cd58bde8a9f84339b,116051507.867838,25363525899.028896,7302.126259,456.382891,19.510000,
byCPID,,0e748ca75bf3cb48ae14f70e18aa17fb,5833157789.866431,26199731261.585213,14386137.099239,899133.568702,293.330000,
byCPID,,0ec5816dc6b30c9404c3e93850d05184,3427821.221440,1638024695.037621,3806.100934,3806.100934,17.330000,
byCPID,,0ef92fa9a3c87ece396870cf3977f6d9,19014449.240613,14242938582.140572,2967.448910,329.716546,1.020000,
byCPID,,0eff9782d1abbed0ee827e4017bbed55,340602284.743357,6501434865.711800,17953.903142,4488.475785,2.330000,
byCPID,,0f06b7a83f5bf25af6053d340eb96380,52427005.530662,11465913384.303558,228.587604,32.655372,0.090000,
byCPID,,0f4e985a4ce2a311305c6509f16b30a3,81321270.860738,6488634308.051306,724.414944,181.103736,0.110000,
byCPID,,0f9d9d038186b9ce82514dd1379d739e,12335998.870473,4901426227.329944,4914.618629,1638.206210,34.420000,
byCPID,,1048f5bf772004757e6b58bf8d159980,4832584.734925,19636798704.035397,205.095114,17.091259,0.450000,
byCPID,,109e5fb32c6fd869f4f69e5a2b387a93,51522886.192648,4896598508.752805,0.276010,0.092003,0.000000,
